age,sex,income_family,province,education,religious,marital_status,language_knowledge,employed,votechoice,vote_liberal
69,Female,"$75,000 to $99,999",Ontario,Less than high school,Yes,Has a partner,English only,No,Conservative Party,0
49,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Single,French only,Yes,Liberal Party,1
62,Female,"$25,000 to $49,999",Ontario,High school diploma,No,Has a partner,English only,No,Conservative Party,0
54,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
55,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Has a partner,French only,No,Green Party,0
58,Female,"$50,000 to $74,999",Ontario,Less than high school,No,Single,English only,Yes,Green Party,0
41,Female,"$25,000 to $49,999",Manitoba,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
54,Male,"$75,000 to $99,999",Quebec,Above bachelor,Yes,Single,French only,Yes,Bloc Québécois,0
34,Female,"$125,000 and more",Alberta,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
66,Female,"$125,000 and more",British Columbia,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
48,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
68,Male,"$75,000 to $99,999",British Columbia,Above bachelor,Yes,Has a partner,Both English and French,No,Liberal Party,1
68,Male,"$25,000 to $49,999",Nova Scotia,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
65,Female,"$50,000 to $74,999",Quebec,High school diploma,Yes,Has a partner,French only,No,Liberal Party,1
28,Female,"$75,000 to $99,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Liberal Party,1
28,Female,"$75,000 to $99,999",Quebec,Bachelor's degree,Yes,Single,French only,Yes,Don't know/ Prefer not to answer,0
69,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,No,Green Party,0
35,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
34,Male,"$25,000 to $49,999",New Brunswick,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
28,Female,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
68,Female,"Less than $25,000",Quebec,High school diploma,Yes,Single,French only,No,Liberal Party,1
50,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,Yes,Green Party,0
61,Male,"$25,000 to $49,999",Alberta,College or certificate,Yes,Single,English only,Yes,Liberal Party,1
74,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
54,Male,"$50,000 to $74,999",Manitoba,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
40,Male,"$125,000 and more",Manitoba,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
54,Female,"$125,000 and more",British Columbia,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
46,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,No,Another party (please specify),0
59,Male,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,Yes,Conservative Party,0
63,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
51,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
72,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,No,ndp,0
56,Female,"Less than $25,000",Quebec,College or certificate,Yes,Has a partner,French only,No,Conservative Party,0
37,Female,"$75,000 to $99,999",Saskatchewan,High school diploma,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
60,Female,"$125,000 and more",Quebec,Above bachelor,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
81,Male,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,No,Conservative Party,0
63,Male,"$100,000 to $ 124,999",Ontario,Above bachelor,Yes,Single,English only,No,ndp,0
63,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,Neither English nor French,Yes,Conservative Party,0
61,Female,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
65,Male,"$100,000 to $ 124,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
72,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Conservative Party,0
37,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
52,Male,"$125,000 and more",Nova Scotia,College or certificate,Yes,Single,English only,Yes,Green Party,0
49,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
81,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
73,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
30,Female,"$25,000 to $49,999",Quebec,High school diploma,No,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
53,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
84,Male,"$50,000 to $74,999",Ontario,Above bachelor,No,Has a partner,English only,No,Don't know/ Prefer not to answer,0
69,Male,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,Both English and French,No,Don't know/ Prefer not to answer,0
80,Male,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
25,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
36,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Liberal Party,1
60,Female,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Conservative Party,0
69,Male,"Less than $25,000",Ontario,Above bachelor,Yes,Single,English only,No,Another party (please specify),0
58,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
49,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,No,Green Party,0
63,Male,"$50,000 to $74,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,No,Liberal Party,1
19,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,Yes,Liberal Party,1
26,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,Both English and French,Yes,Green Party,0
64,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Conservative Party,0
62,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,French only,Yes,Conservative Party,0
57,Male,"$25,000 to $49,999",New Brunswick,Bachelor's degree,No,Single,English only,No,Don't know/ Prefer not to answer,0
65,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Bloc Québécois,0
66,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Liberal Party,1
60,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Single,English only,Yes,Liberal Party,1
63,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Don't know/ Prefer not to answer,0
58,Male,"$50,000 to $74,999",Nova Scotia,College or certificate,Yes,Single,English only,Yes,ndp,0
55,Male,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Conservative Party,0
58,Female,"$100,000 to $ 124,999",Quebec,High school diploma,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
74,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,No,Liberal Party,1
73,Male,"$25,000 to $49,999",Ontario,Above bachelor,Yes,Has a partner,English only,No,Conservative Party,0
42,Female,"Less than $25,000",Quebec,Less than high school,No,Has a partner,French only,No,Liberal Party,1
36,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,English only,Yes,Liberal Party,1
50,Female,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
80,Male,"$125,000 and more",Ontario,Above bachelor,No,Single,English only,No,Don't know/ Prefer not to answer,0
55,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,Green Party,0
71,Female,"$25,000 to $49,999",Ontario,Above bachelor,Yes,Single,English only,No,ndp,0
42,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,Yes,Liberal Party,1
32,Male,"$50,000 to $74,999",Alberta,Bachelor's degree,Yes,Single,Both English and French,Yes,Conservative Party,0
77,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Green Party,0
57,Male,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Bloc Québécois,0
56,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
60,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
64,Male,"Less than $25,000",Newfoundland and Labrador,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
23,Female,"Less than $25,000",Quebec,High school diploma,Yes,Single,French only,No,Green Party,0
68,Female,"$25,000 to $49,999",Ontario,Less than high school,Yes,Single,English only,No,Don't know/ Prefer not to answer,0
28,Male,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
72,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
40,Female,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Conservative Party,0
78,Female,"$50,000 to $74,999",Ontario,Above bachelor,Yes,Has a partner,English only,No,Liberal Party,1
29,Male,"Less than $25,000",Quebec,College or certificate,No,Has a partner,English only,No,Green Party,0
59,Male,"$25,000 to $49,999",Quebec,High school diploma,Yes,Has a partner,French only,No,Conservative Party,0
39,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
47,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,No,Conservative Party,0
70,Male,"Less than $25,000",Ontario,College or certificate,Yes,Single,English only,No,ndp,0
43,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Single,English only,Yes,Conservative Party,0
41,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,Yes,ndp,0
68,Female,"$125,000 and more",Ontario,High school diploma,Yes,Has a partner,English only,No,Liberal Party,1
33,Female,"Less than $25,000",Ontario,College or certificate,Yes,Single,English only,No,Liberal Party,1
35,Male,"$75,000 to $99,999",Quebec,High school diploma,Yes,Has a partner,French only,Yes,ndp,0
79,Male,"$25,000 to $49,999",New Brunswick,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
47,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,Neither English nor French,Yes,Liberal Party,1
74,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Has a partner,French only,No,Bloc Québécois,0
46,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
36,Male,"$25,000 to $49,999",Alberta,Less than high school,Yes,Has a partner,English only,Yes,Liberal Party,1
30,Female,"$50,000 to $74,999",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
52,Female,"$100,000 to $ 124,999",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
74,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,No,Conservative Party,0
71,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
68,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Don't know/ Prefer not to answer,0
65,Male,"$25,000 to $49,999",Nova Scotia,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
86,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,No,Liberal Party,1
73,Male,"$75,000 to $99,999",Ontario,Bachelor's degree,Yes,Has a partner,Both English and French,No,Liberal Party,1
72,Female,"Less than $25,000",Ontario,High school diploma,Yes,Single,English only,No,Conservative Party,0
54,Male,"$50,000 to $74,999",Quebec,Bachelor's degree,Yes,Single,French only,Yes,Green Party,0
61,Male,"$100,000 to $ 124,999",Prince Edward Island,Above bachelor,Yes,Has a partner,English only,No,Liberal Party,1
44,Male,"$50,000 to $74,999",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,People's Party,0
40,Male,"$50,000 to $74,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
56,Male,"$25,000 to $49,999",New Brunswick,College or certificate,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
57,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,Neither English nor French,Yes,Conservative Party,0
31,Male,"Less than $25,000",Newfoundland and Labrador,College or certificate,Yes,Single,English only,Yes,Liberal Party,1
59,Male,"$25,000 to $49,999",Ontario,Bachelor's degree,No,Has a partner,Neither English nor French,Yes,ndp,0
63,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
61,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Green Party,0
54,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,No,Don't know/ Prefer not to answer,0
72,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
53,Male,"$75,000 to $99,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Conservative Party,0
23,Male,"$25,000 to $49,999",Alberta,Bachelor's degree,No,Single,English only,Yes,Conservative Party,0
59,Male,"$100,000 to $ 124,999",Newfoundland and Labrador,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
60,Female,"$75,000 to $99,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Don't know/ Prefer not to answer,0
59,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Single,French only,No,Don't know/ Prefer not to answer,0
69,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,Both English and French,No,Liberal Party,1
83,Female,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,Both English and French,No,Green Party,0
57,Female,"$125,000 and more",Quebec,Bachelor's degree,Yes,Has a partner,French only,No,Liberal Party,1
52,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Conservative Party,0
79,Male,"$50,000 to $74,999",Nova Scotia,High school diploma,Yes,Single,English only,No,Conservative Party,0
99,Female,"$25,000 to $49,999",Ontario,Above bachelor,Yes,Single,English only,Yes,Liberal Party,1
65,Male,"Less than $25,000",Quebec,College or certificate,Yes,Single,French only,No,Conservative Party,0
72,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Green Party,0
73,Male,"$100,000 to $ 124,999",Ontario,Above bachelor,No,Has a partner,Neither English nor French,No,Don't know/ Prefer not to answer,0
35,Male,"Less than $25,000",Alberta,College or certificate,Yes,Single,English only,Yes,Conservative Party,0
67,Male,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Liberal Party,1
49,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
56,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Conservative Party,0
20,Male,"Less than $25,000",Alberta,Less than high school,Yes,Single,Neither English nor French,No,Green Party,0
63,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes,Liberal Party,1
58,Female,"$100,000 to $ 124,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,No,Green Party,0
59,Female,"$25,000 to $49,999",Quebec,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
56,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Liberal Party,1
61,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
61,Female,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,No,Don't know/ Prefer not to answer,0
68,Female,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,Neither English nor French,No,Liberal Party,1
62,Male,"$25,000 to $49,999",Quebec,College or certificate,Yes,Has a partner,French only,No,People's Party,0
39,Male,"Less than $25,000",Ontario,College or certificate,Yes,Single,English only,No,Conservative Party,0
38,Female,"$25,000 to $49,999",Quebec,High school diploma,Yes,Single,French only,No,Conservative Party,0
45,Female,"$100,000 to $ 124,999",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Conservative Party,0
71,Male,"Less than $25,000",Newfoundland and Labrador,College or certificate,Yes,Single,English only,No,Liberal Party,1
45,Male,"$100,000 to $ 124,999",Quebec,Above bachelor,Yes,Has a partner,French only,Yes,Green Party,0
70,Female,"$25,000 to $49,999",Quebec,Above bachelor,Yes,Single,French only,No,Green Party,0
49,Male,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,English only,Yes,Green Party,0
54,Female,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,No,Conservative Party,0
51,Female,"$50,000 to $74,999",Quebec,High school diploma,Yes,Has a partner,French only,No,Conservative Party,0
61,Female,"$125,000 and more",Ontario,College or certificate,Yes,Single,English only,Yes,Liberal Party,1
56,Male,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Conservative Party,0
51,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,Neither English nor French,Yes,Don't know/ Prefer not to answer,0
56,Female,"$125,000 and more",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes,Another party (please specify),0
64,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Liberal Party,1
44,Female,"$25,000 to $49,999",Ontario,College or certificate,Yes,Single,Both English and French,Yes,Liberal Party,1
52,Male,"$75,000 to $99,999",British Columbia,College or certificate,Yes,Has a partner,English only,Yes,Conservative Party,0
65,Male,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,Both English and French,Yes,ndp,0
57,Male,"$50,000 to $74,999",Quebec,College or certificate,Yes,Has a partner,French only,No,Conservative Party,0
47,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Has a partner,English only,Yes,ndp,0
82,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,No,Conservative Party,0
54,Female,"$125,000 and more",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,ndp,0
50,Female,"$125,000 and more",Newfoundland and Labrador,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
52,Female,"$50,000 to $74,999",Ontario,Bachelor's degree,Yes,Single,English only,Yes,Don't know/ Prefer not to answer,0
21,Female,"Less than $25,000",Quebec,College or certificate,Yes,Single,Both English and French,Yes,Don't know/ Prefer not to answer,0
70,Female,"Less than $25,000",Ontario,College or certificate,Yes,Single,English only,No,ndp,0
58,Female,"$50,000 to $74,999",Quebec,College or certificate,Yes,Single,French only,No,Liberal Party,1
60,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Green Party,0
25,Male,"$75,000 to $99,999",Nova Scotia,Above bachelor,Yes,Has a partner,English only,Yes,Liberal Party,1
72,Male,"$100,000 to $ 124,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,No,Green Party,0
39,Male,"$125,000 and more",Quebec,College or certificate,Yes,Has a partner,French only,Yes,Conservative Party,0
56,Female,"$50,000 to $74,999",Ontario,Above bachelor,Yes,Has a partner,Neither English nor French,Yes,Liberal Party,1
54,Male,"$50,000 to $74,999",Ontario,High school diploma,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
48,Female,"$25,000 to $49,999",Newfoundland and Labrador,College or certificate,Yes,Single,English only,No,Don't know/ Prefer not to answer,0
36,Female,"$25,000 to $49,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Green Party,0
49,Female,"Less than $25,000",Quebec,High school diploma,Yes,Single,English only,Yes,Green Party,0
52,Male,"$125,000 and more",Quebec,Above bachelor,Yes,Has a partner,French only,Yes,Conservative Party,0
59,Male,"$50,000 to $74,999",Ontario,College or certificate,Yes,Single,English only,Yes,Green Party,0
31,Male,"$50,000 to $74,999",Manitoba,Bachelor's degree,Yes,Single,Both English and French,Yes,Conservative Party,0
49,Male,"$125,000 and more",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Conservative Party,0
48,Female,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Liberal Party,1
29,Male,"$100,000 to $ 124,999",Ontario,Less than high school,Yes,Single,English only,Yes,ndp,0
32,Male,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Single,Both English and French,Yes,Green Party,0
19,Female,"$25,000 to $49,999",Ontario,High school diploma,Yes,Single,English only,No,Liberal Party,1
38,Male,"$75,000 to $99,999",Ontario,Above bachelor,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
61,Male,"$75,000 to $99,999",Quebec,Bachelor's degree,Yes,Has a partner,French only,No,Bloc Québécois,0
62,Female,"$75,000 to $99,999",Ontario,College or certificate,Yes,Has a partner,English only,No,Conservative Party,0
44,Male,"$100,000 to $ 124,999",Ontario,Bachelor's degree,Yes,Has a partner,English only,Yes,Don't know/ Prefer not to answer,0
